2025-04-30 03:37:39,415 DEBUG   HandlerThread:23 [handler.py:handle_request():146] handle_request: partial_history
2025-04-30 03:37:39,418 DEBUG   SenderThread:23 [sender.py:send():380] send: history
2025-04-30 03:37:39,418 DEBUG   SenderThread:23 [sender.py:send_request():407] send_request: summary_record
2025-04-30 03:37:39,420 INFO    SenderThread:23 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2025-04-30 03:37:39,514 INFO    Thread-12 :23 [dir_watcher.py:_on_file_created():271] file/dir created: /app/wandb/run-20250430_033729-3ik7mycf/files/wandb-summary.json
2025-04-30 03:37:41,575 INFO    Thread-12 :23 [dir_watcher.py:_on_file_modified():288] file/dir modified: /app/wandb/run-20250430_033729-3ik7mycf/files/output.log
2025-04-30 03:37:44,425 DEBUG   HandlerThread:23 [handler.py:handle_request():146] handle_request: status_report
2025-04-30 03:37:44,540 DEBUG   HandlerThread:23 [handler.py:handle_request():146] handle_request: partial_history
2025-04-30 03:37:44,541 DEBUG   SenderThread:23 [sender.py:send():380] send: history
2025-04-30 03:37:44,541 DEBUG   SenderThread:23 [sender.py:send_request():407] send_request: summary_record
2025-04-30 03:37:44,541 INFO    SenderThread:23 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2025-04-30 03:37:44,543 DEBUG   HandlerThread:23 [handler.py:handle_request():146] handle_request: stop_status
2025-04-30 03:37:44,544 DEBUG   SenderThread:23 [sender.py:send_request():407] send_request: stop_status
2025-04-30 03:37:44,547 DEBUG   HandlerThread:23 [handler.py:handle_request():146] handle_request: internal_messages
2025-04-30 03:37:44,641 INFO    Thread-12 :23 [dir_watcher.py:_on_file_modified():288] file/dir modified: /app/wandb/run-20250430_033729-3ik7mycf/files/wandb-summary.json
2025-04-30 03:37:45,646 INFO    Thread-12 :23 [dir_watcher.py:_on_file_modified():288] file/dir modified: /app/wandb/run-20250430_033729-3ik7mycf/files/output.log
2025-04-30 03:37:49,650 DEBUG   HandlerThread:23 [handler.py:handle_request():146] handle_request: status_report
2025-04-30 03:37:49,695 DEBUG   HandlerThread:23 [handler.py:handle_request():146] handle_request: partial_history
2025-04-30 03:37:49,697 DEBUG   SenderThread:23 [sender.py:send():380] send: history
2025-04-30 03:37:49,698 DEBUG   SenderThread:23 [sender.py:send_request():407] send_request: summary_record
2025-04-30 03:37:49,699 INFO    SenderThread:23 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2025-04-30 03:37:50,649 INFO    Thread-12 :23 [dir_watcher.py:_on_file_modified():288] file/dir modified: /app/wandb/run-20250430_033729-3ik7mycf/files/wandb-summary.json
2025-04-30 03:37:51,659 INFO    Thread-12 :23 [dir_watcher.py:_on_file_modified():288] file/dir modified: /app/wandb/run-20250430_033729-3ik7mycf/files/output.log
2025-04-30 03:37:54,731 DEBUG   HandlerThread:23 [handler.py:handle_request():146] handle_request: status_report
2025-04-30 03:37:54,737 DEBUG   HandlerThread:23 [handler.py:handle_request():146] handle_request: partial_history
2025-04-30 03:37:54,739 DEBUG   SenderThread:23 [sender.py:send():380] send: history
2025-04-30 03:37:54,739 DEBUG   SenderThread:23 [sender.py:send_request():407] send_request: summary_record
2025-04-30 03:37:54,740 INFO    SenderThread:23 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2025-04-30 03:37:55,661 INFO    Thread-12 :23 [dir_watcher.py:_on_file_modified():288] file/dir modified: /app/wandb/run-20250430_033729-3ik7mycf/files/wandb-summary.json
2025-04-30 03:37:55,661 INFO    Thread-12 :23 [dir_watcher.py:_on_file_modified():288] file/dir modified: /app/wandb/run-20250430_033729-3ik7mycf/files/output.log
2025-04-30 03:37:59,551 DEBUG   HandlerThread:23 [handler.py:handle_request():146] handle_request: stop_status
2025-04-30 03:37:59,552 DEBUG   SenderThread:23 [sender.py:send_request():407] send_request: stop_status
